grado nemico, nome, grado arma,grado armatura, vita
1,Tyranide,1,1,20 
1,Tyranide,1,2,22
1,Tyranide,2,1,25
1,Tyranide,1,1,30
1,Tyranide,2,2,15
2,Tyranide,2,2,35
2,Tyranide,2,3,35
2,Tyranide,3,2,39
3,Tyranide,3,3,40
3,Tyranide,3,3,45
1,Chaos Marine,1,1,20 
1,Chaos Marine,1,2,22
2,Chaos Marine,2,2,30
2,Chaos Marine,3,2,30
2,Chaos Marine,3,2,35
2,Chaos Marine,2,3,35
2,Chaos Marine,2,3,35
2,Chaos Marine,3,2,39
3,Chaos Marine,3,3,40
3,Chaos Marine,3,3,45
1,Necron,2,1,20 
2,Necron,2,2,22
2,Necron,2,2,25
2,Necron,3,2,30
2,Necron,3,3,15
2,Necron,3,2,35
3,Necron,3,3,40
3,Necron,3,3,40
3,Necron,3,3,45
3,Necron,3,3,50
